"CU ID","Interfaz","Actor","Módulo","Submódulo","Caso de Uso (Op. Simple)","Entidades del Dominio","Precondiciones","Postcondiciones","Flujo principal","Flujos alternativos / excepciones","Dependencias CU","Puntos CU","Reglas de negocio","Plataforma"
"CU-030","Portal de Dirección","Director","Comercial","Inscripción","Eliminar inscripción","inscripcion, sesion","Inscripción registrada","Inscripción cancelada, sesiones futuras liberadas, recursos disponibles para otros alumnos","1. Director selecciona inscripción (CU-028) 2. Selecciona Eliminar/Cancelar 3. Muestra diálogo: nombre alumno, curso, ID inscripción, [N] sesiones programadas, [N] completadas, alerta 'Esta acción no se puede deshacer' 4. LOGICA: SI sin iniciar (sin sesiones completadas) → permite cancelar directo; SI en progreso (sesiones completadas) → muestra aviso pero permite cancelar, preserva historial 5. Solicita confirmación checkbox: 'Entiendo que esta acción no se puede deshacer' 6. CANCELACION: marca inscripcion inactiva, marca sesiones futuras como canceladas (sesiones completadas PRESERVADAS), libera instructor/vehículo de sesiones futuras","1. Inscripción sin sesiones: 'No hay sesiones que cancelar. Eliminar registro?' 2. Con sesiones completadas: 'Se perderán [N] horas registradas. ¿Continuar?' 3. Error BD: 'Error al cancelar inscripción. Intente nuevamente'","CU-028","4","Soft delete: marca inactiva, no elimina; Sesiones completadas: NUNCA eliminar (preserva historial); Sesiones futuras: marcar como canceladas; Recursos liberados: instructor y vehículo disponibles; Pago NO revertido automáticamente (decisión comercial)","Web"
"CU-031","Terminal de Asistente","Asistente","Académico","Alumnos","Registrar alumno","usuario","Asistente autenticado","Alumno registrado con ID asignado","1. Asistente abre Módulo Alumnos → Nuevo 2. Completa formulario: Nombre completo, Fecha nacimiento, Tipo documento, Número documento (valida NO duplicado), Teléfono (7+ dígitos), Email (opcional), Foto (opcional, máx 2MB) 3. Sistema calcula edad automáticamente 4. Valida cada campo según esquema 5. Previsualiza datos ingresados 6. Confirma creación y asigna ID alumno 7. Muestra confirmación con número de alumno asignado","1. Número documento duplicado: 'Este documento ya está registrado. Alumno: [Nombre]' 2. Email duplicado: 'Email ya en uso' 3. Datos inválidos (email, teléfono): mostrar error específico por campo 4. Fecha nacimiento inválida: 'Ingrese fecha válida' 5. Foto excede tamaño: 'Imagen debe ser menor a 2MB' 6. Datos incompletos: resaltar campos requeridos 7. Error BD: 'Error al registrar alumno. Intente nuevamente'","Ninguna","3","Número documento UNIQUE; Email UNIQUE si se proporciona; Edad se calcula automáticamente (NOW - fecha_nacimiento); Teléfono debe tener formato válido (7+ dígitos); Foto máx 2MB; Nombre y Documento son obligatorios","Web"
"CU-032","Terminal de Asistente","Asistente","Académico","Alumnos","Consultar alumno","usuario","Asistente autenticado","Lista de alumnos con información completa visualizada","1. Asistente abre Módulo Alumnos 2. Sistema carga lista paginada (máx 50 alumnos por página) de alumnos activos 3. Muestra columnas: ID, Nombre, Documento, Edad, Teléfono 4. Proporciona búsqueda: por nombre (parcial, insensible a mayúsculas), por documento, por teléfono 5. Permite ordenar por nombre o fecha creación 6. Filtros opcionales: Activos/Inactivos, Por rango edad 7. Seleccionar alumno muestra tarjeta detalle: datos personales, historial de inscripciones, total de horas realizadas","1. No hay alumnos: 'No hay alumnos registrados. Cree uno nuevo' 2. Búsqueda sin resultados: 'No encontrado. Verifique nombre o documento' 3. Error BD: 'Error al cargar alumnos'","Ninguna","2","Listado solo incluye alumnos activos (soft delete); Búsqueda case-insensitive; Máx 50 registros por página; Edad calculada automáticamente","Web"
"CU-033","Terminal de Asistente","Asistente","Académico","Alumnos","Modificar alumno","usuario","Alumno registrado","Alumno actualizado con cambios guardados","1. Asistente selecciona alumno de lista (CU-032) 2. Selecciona Editar 3. Abre formulario con datos actuales precargados 4. Permite modificar: Nombre, Teléfono, Email (siempre); Número documento (solo sin inscripciones) 5. Valida datos igual que CU-031 6. Muestra resumen de cambios realizados 7. Confirma actualización","1. Alumno con inscripciones activas: 'No puede cambiar documento. Usuario tiene inscripciones activas' 2. Nuevo documento duplicado: 'Documento duplicado' 3. Datos inválidos: mostrar error específico por campo 4. Error BD: 'Error al actualizar. Intente nuevamente'","CU-032","3","No cambiar documento si hay inscripciones; Cambios pueden ser auditados internamente; Nombre y Documento son obligatorios; Foto máx 2MB","Web"
"CU-034","Terminal de Asistente","Asistente","Académico","Alumnos","Eliminar alumno","usuario","Alumno registrado","Alumno marcado como inactivo (soft delete)","1. Asistente selecciona alumno de lista (CU-032) 2. Selecciona Eliminar o Desactivar 3. Muestra diálogo: Nombre, Documento, cantidad de inscripciones asociadas, alerta 'Esta acción no se puede deshacer' 4. SI sin inscripciones: permite desactivar directamente 5. SI con inscripciones: muestra lista y aviso 6. Usuario confirma desactivación 7. Sistema marca como inactivo (soft delete)","1. Alumno con inscripciones activas: 'No puede desactivar. Tiene [N] inscripciones activas' 2. Alumno con pagos sin procesar: 'No puede desactivar. Resolver pagos primero' 3. Usuario cancela: Vuelve a lista 4. Error BD: 'Error al desactivar. Intente nuevamente'","CU-032","3","Soft delete: solo marcar inactivo; No eliminar datos (preservar historial); No desactivar si hay inscripciones en proceso","Web"
"CU-035","Terminal de Asistente","Asistente","Comercial","Inscripción","Registrar inscripción","inscripcion, sesion, usuario, curso, metodo_pago, vehiculo","Alumno y curso registrados, pago completado, recursos disponibles","Inscripción registrada, sesiones creadas","1. Asistente abre Inscripción → Nueva 2. SELECCION ALUMNO: busca por nombre/documento, valida activo, muestra datos 3. SELECCION CURSO: lista cursos activos, selecciona, valida existencia 4. VERIFICACION PAGO: busca pagos del alumno para este curso, SI pago pendiente → BLOQUEA con alerta, SI completado → continúa 5. SELECCION RECURSOS: muestra calendario horarios (8-10, 10-12, 13-15, 15-17, 17-19), filtra instructor/vehículo disponibles, VALIDA ANTICONFLICTO (instructor NO ocupado, vehículo NO ocupado, alumno NO en otra clase), selecciona primera sesión 6. CONFIRMACION: muestra RESUMEN (alumno, curso, pago, instructor, vehículo, horario) con confirmación 7. CREACION: crea inscripcion (alumno_id, curso_id, metodo_pago_id, estado_pago='completado'), crea sesiones (1 por clase) 8. Muestra confirmación: 'Inscripción registrada. ID: [id]'","1. Alumno no encontrado: 'Alumno no existe. Cree uno primero' 2. Alumno inactivo: 'Alumno inactivo. No puede inscribirse' 3. Curso no existe: 'Curso no disponible' 4. INSCRIPCION DUPLICADA: 'Alumno ya está inscrito en este curso' 5. PAGO NO REALIZADO: 'Pago pendiente. Monto $[precio]. Registre pago antes de continuar' 6. SIN RECURSOS DISPONIBLES: 'No hay instructores/vehículos disponibles en horarios solicitados. Próximo disponible: [fecha]' 7. CONFLICTO HORARIO (alumno en 2 clases): 'Alumno ya tiene clase en este horario' 8. INSTRUCTOR NO DISPONIBLE: 'Instructor [Nombre] no disponible [hora]. Opciones: [lista]' 9. VEHICULO NO DISPONIBLE: 'Vehículo [Placa] no disponible. Opciones: [lista]' 10. VEHICULO EN MANTENIMIENTO: 'Vehículo en mantenimiento. No disponible' 11. TIPO VEHICULO NO DISPONIBLE: 'No hay vehículos tipo [Automático] disponibles' 12. DATOS INCOMPLETOS: resaltar campo específico 13. Error BD: 'Error al crear inscripción. Intente nuevamente'","Ninguna","5","PAGO OBLIGATORIO: estado_pago DEBE='completado' ANTES de crear; UNICA POR CURSO: UNIQUE(alumno_id, curso_id); RECURSOS LIMITADOS: 4 vehículos (3 manuales, 1 automático), 5 instructores máximo; ANTICONFLICTO: validar instructor y vehículo sin conflicto de horario; HORARIOS: 8-10, 10-12, 13-15, 15-17, 17-19 (duración 2h); ALUMNO/CURSO ACTIVO obligatorio","Web"
"CU-036","Terminal de Asistente","Asistente","Comercial","Inscripción","Consultar inscripción","inscripcion, sesion, usuario, curso","Asistente autenticado","Lista de inscripciones con estado y detalles visualizados","1. Asistente abre Módulo Inscripción 2. Carga lista paginada (máx 50) de inscripciones activas 3. Muestra columnas: ID, Alumno, Curso, Fecha inscripción, Estado pago, Sesiones restantes 4. Búsqueda por: nombre alumno, documento, ID inscripción, curso 5. Filtros: por estado pago, por curso, por rango fechas, por instructor 6. Ordena por fecha inscripción (descendente) 7. Seleccionar muestra tarjeta con: datos alumno (nombre, doc, teléfono), datos curso (nombre, horas, precio), pago (método, monto, fecha), sesiones listadas con fechas/horarios/instructor/vehículo, horas acumuladas","1. No hay inscripciones: 'No hay inscripciones registradas' 2. Búsqueda sin resultados: 'No encontrado' 3. Error BD: 'Error al cargar inscripciones'","Ninguna","3","Listado solo activos (soft delete); Página máx 50; Búsqueda case-insensitive; Sesiones muestran estado: programada, en curso, completada, cancelada","Web"
"CU-037","Terminal de Asistente","Asistente","Comercial","Inscripción","Modificar inscripción","inscripcion, sesion, usuario, vehiculo","Inscripción registrada","Inscripción actualizada con cambios guardados","1. Asistente selecciona inscripción (CU-036) 2. Abre vista detalle → Editar 3. RESTRICCIONES: SI inscripción iniciada (sesión en curso/completada) → mostrar 'Inscripción en progreso. Cambios limitados' y permitir SOLO próximas sesiones; SI sin iniciar → permitir cambios de instructor/vehículo/horario 4. SELECCION NUEVOS RECURSOS: muestra calendario disponible 5. Selecciona nuevo instructor y vehículo 6. VALIDACION ANTICONFLICTO: instructor NO ocupado, vehículo NO ocupado, alumno NO tiene otra clase mismo horario 7. Selecciona nuevas fechas/horarios 8. CONFIRMACION: muestra cambios antes/después, resalta conflictos 9. CREACION: actualiza sesiones","1. Inscripción en progreso → 'No puede cambiar alumno/curso de inscripción en curso' 2. Alumno tiene otra clase → 'Conflicto de horario' 3. Instructor no disponible → 'Instructor ocupado. Opciones: [lista]' 4. Vehículo no disponible → 'Vehículo no disponible. Opciones: [lista]' 5. Tipo vehículo no disponible → 'No hay vehículos de este tipo disponibles' 6. Error BD → 'Error al actualizar inscripción'","CU-036","4","Inscripciones iniciadas: cambios limitados a próximas sesiones; Inscripciones sin iniciar: cambios libres (siempre validando anticonflicto); Sesiones completadas: NUNCA editar; Validación anticonflicto OBLIGATORIA","Web"
"CU-038","Terminal de Asistente","Asistente","Comercial","Inscripción","Eliminar inscripción","inscripcion, sesion","Inscripción registrada","Inscripción cancelada, sesiones futuras liberadas, recursos disponibles para otros alumnos","1. Asistente selecciona inscripción (CU-036) 2. Selecciona Eliminar/Cancelar 3. Muestra diálogo: nombre alumno, curso, ID inscripción, [N] sesiones programadas, [N] completadas, alerta 'Esta acción no se puede deshacer' 4. LOGICA: SI sin iniciar (sin sesiones completadas) → permite cancelar directo; SI en progreso (sesiones completadas) → muestra aviso pero permite cancelar, preserva historial 5. Solicita confirmación checkbox: 'Entiendo que esta acción no se puede deshacer' 6. CANCELACION: marca inscripcion inactiva, marca sesiones futuras como canceladas (sesiones completadas PRESERVADAS), libera instructor/vehículo de sesiones futuras","1. Inscripción sin sesiones: 'No hay sesiones que cancelar. Eliminar registro?' 2. Con sesiones completadas: 'Se perderán [N] horas registradas. ¿Continuar?' 3. Error BD: 'Error al cancelar inscripción. Intente nuevamente'","CU-036","4","Soft delete: marca inactiva, no elimina; Sesiones completadas: NUNCA eliminar (preserva historial); Sesiones futuras: marcar como canceladas; Recursos liberados: instructor y vehículo disponibles; Pago NO revertido automáticamente (decisión comercial)","Web"
"CU-039","Panel de Administración","Administrador","Seguridad","Sesión","Iniciar Sesión","usuario","Usuario no autenticado","Usuario autenticado con sesión activa","1. Pantalla login muestra: Email/Documento, Contraseña, Checkbox 'Mantener la sesión iniciada' 2. Usuario ingresa credenciales 3. Sistema valida: Email/Documento y Contraseña coinciden (contraseña hasheada) 4. SI 'Mantener sesión' marcado: token válido por 30 días 5. SI NO marcado: token válido por 8 horas (expira si inactividad) 6. Sistema crea sesión (usuario_id, interfaz, token, fecha_expiracion) 7. Redirige a dashboard con módulos permitidos por rol","1. Credenciales incorrectas: 'Email/Documento o Contraseña incorrectos' 2. Usuario no existe: 'Usuario no registrado' 3. Usuario inactivo: 'Cuenta desactivada. Contacte administrador' 4. Sesión expirada: 'Sesión expirada. Inicie sesión nuevamente' 5. Error BD: 'Error al conectar'","Ninguna","2","Contraseña almacenada con hash (bcrypt); Token válido 30 días si 'Mantener sesión' = sí; Token válido 8 horas si 'Mantener sesión' = no; Interfaz identificador único: 'Panel de Administración'","Web"
"CU-040","Portal de Dirección","Director","Seguridad","Sesión","Iniciar Sesión","usuario","Usuario no autenticado","Usuario autenticado con sesión activa","1. Pantalla login muestra: Email/Documento, Contraseña, Checkbox 'Mantener la sesión iniciada' 2. Director ingresa credenciales 3. Sistema valida: Email/Documento y Contraseña coinciden (hasheada) 4. SI 'Mantener sesión' marcado: token válido por 30 días 5. SI NO marcado: token válido por 8 horas (expira si inactividad) 6. Sistema crea sesión (usuario_id, interfaz='Portal de Dirección', token, fecha_expiracion) 7. Redirige a dashboard: muestra módulos permitidos (Académico, Logística, Comercial, Finanzas)","1. Credenciales incorrectas: 'Email/Documento o Contraseña incorrectos' 2. Usuario no existe: 'Usuario no registrado' 3. Usuario inactivo: 'Cuenta desactivada. Contacte administrador' 4. Rol no permitido: 'Su cuenta no tiene acceso a este portal' 5. Sesión expirada: 'Sesión expirada. Inicie sesión nuevamente' 6. Error BD: 'Error al conectar'","Ninguna","2","Contraseña almacenada con hash (bcrypt); Token válido 30 días si 'Mantener sesión' = sí; Token válido 8 horas si 'Mantener sesión' = no; Interfaz identificador único: 'Portal de Dirección'","Web"
"CU-041","Terminal de Asistente","Asistente","Seguridad","Sesión","Iniciar Sesión","usuario","Usuario no autenticado","Usuario autenticado con sesión activa","1. Pantalla login muestra: Email/Documento, Contraseña, Checkbox 'Mantener la sesión iniciada' 2. Asistente ingresa credenciales 3. Sistema valida: Email/Documento y Contraseña coinciden (hasheada) 4. SI 'Mantener sesión' marcado: token válido por 30 días 5. SI NO marcado: token válido por 8 horas (expira si inactividad) 6. Sistema crea sesión (usuario_id, interfaz='Terminal de Asistente', token, fecha_expiracion) 7. Redirige a pantalla principal: muestra módulos (Alumnos, Inscripción)","1. Credenciales incorrectas: 'Email/Documento o Contraseña incorrectos' 2. Usuario no existe: 'Usuario no registrado' 3. Usuario inactivo: 'Cuenta desactivada. Contacte administrador' 4. Rol no permitido: 'Su cuenta no tiene acceso a este terminal' 5. Sesión expirada: 'Sesión expirada. Inicie sesión nuevamente' 6. Error BD: 'Error al conectar'","Ninguna","2","Contraseña almacenada con hash (bcrypt); Token válido 30 días si 'Mantener sesión' = sí; Token válido 8 horas si 'Mantener sesión' = no; Interfaz identificador único: 'Terminal de Asistente'","Web"
"CU-042","Panel de Administración","Administrador","Seguridad","Sesión","Cerrar Sesión","usuario","Usuario autenticado en Panel de Administración","Sesión cerrada, usuario desautenticado","1. Usuario hace clic en menú → 'Cerrar Sesión' 2. Sistema muestra confirmación: '¿Desea cerrar la sesión?' [Sí/No] 3. SI 'Sí': destruye token, limpia sesión en servidor, actualiza fecha_fin en BD 4. Redirige a login: muestra 'Sesión cerrada' 5. Token destruido completamente","1. Sesión no válida: 'No hay sesión activa' 2. Error al cerrar: 'Error al cerrar sesión. Intente nuevamente' 3. Usuario cancela: Permanece en dashboard","CU-039","1","Token destruido inmediatamente; Sesión registra fecha_fin al cerrar; Logout manual disponible en cualquier momento; Interfaz identificador: 'Panel de Administración'","Web"
"CU-043","Portal de Dirección","Director","Seguridad","Sesión","Cerrar Sesión","usuario","Usuario autenticado en Portal de Dirección","Sesión cerrada, usuario desautenticado","1. Director hace clic en menú → 'Cerrar Sesión' 2. Sistema muestra confirmación: '¿Desea cerrar la sesión?' [Sí/No] 3. SI 'Sí': destruye token, limpia sesión en servidor, actualiza fecha_fin en BD 4. Redirige a login: muestra 'Sesión cerrada' 5. Token destruido completamente","1. Sesión no válida: 'No hay sesión activa' 2. Error al cerrar: 'Error al cerrar sesión. Intente nuevamente' 3. Usuario cancela: Permanece en dashboard","CU-040","1","Token destruido inmediatamente; Sesión registra fecha_fin al cerrar; Logout manual disponible en cualquier momento; Interfaz identificador: 'Portal de Dirección'","Web"
"CU-044","Terminal de Asistente","Asistente","Seguridad","Sesión","Cerrar Sesión","usuario","Usuario autenticado en Terminal de Asistente","Sesión cerrada, usuario desautenticado","1. Asistente hace clic en botón 'Cerrar Sesión' 2. Sistema muestra confirmación: '¿Está seguro?' [Sí/No] 3. SI 'Sí': destruye token, limpia sesión en servidor, actualiza fecha_fin en BD 4. Redirige a login: muestra 'Sesión cerrada' 5. Token destruido completamente","1. Sesión no válida: 'No hay sesión activa' 2. Error al cerrar: 'Error al cerrar sesión. Intente nuevamente' 3. Usuario cancela: Permanece en pantalla principal","CU-041","1","Token destruido inmediatamente; Sesión registra fecha_fin al cerrar; Logout manual disponible en cualquier momento; Interfaz identificador: 'Terminal de Asistente'","Web"
